Id,Name,UnitOfMeasurement,AddressingId,Quantity
72779,JUNTA JD R502814,12,250,1
72759,VEDACAO CASE 47547466,12,251,1
72738,VEDACAO NH 86013221,12,252,2
72757,JUNTA CASE 504314384,12,253,1
72758,MANGUEIRA CASE 84420012,12,254,1
73066,PARAFUSO STARA 9100-2358,12,255,18
73067,PARAFUSO STARA 9100-2398,12,256,7
73065,BUCHA STARA 6426-1155,12,257,20
73064,TAMPA STARA 6117-4184-TB,13,258,69
73072,PARAFUSO STARA 9100-1133,12,259,2130
73071,RASPADOR STARA 6445-4261,12,260,18
73069,ARRUELA STARA 6007-1898,12,261,105
73058,ANEL PLANTE+ A4730R,12,262,101
73050,LINHA JD RE47925,12,215,1
73048,SUPORTE JD AH221379,12,166,1
73049,LINHA JD RE47928,12,215,2
73073,CONTRA PINO STARA 9100-0676,12,263,114
73085,ANEL STARA 9100-7048,12,264,25
73084,EIXO STARA  6009-1665,12,265,32
73099,ADAPTADOR HIDRAULICO EATON WINNER 220J0808,12,266,7
73100,ADAPTADOR HIDRAULIC0 EATON WINNER 220OJ0808,12,267,1
73098,ADAPTADOR HIDRAULICO EATON WINNER 220NJ0808,12,267,10
73090,BUCHA STARA 6007-1657,12,268,14
73083,ARRUELA STARA 6117-4116,12,269,204
73076,DISCO STARA 6117-4109,12,270,127
73077,EIXO STARA 6427-1176,12,271,12
73074,ANEL STARA 7810-4619,12,272,360
73075,ANEL STARA 9100-0251,12,273,95
73080,ABRACADEIRA STARA 6424-4180,12,274,1
73078,ACOPLADOR STARA 6427-2029,13,275,6
72929,INDICADOR VALMET 117400,12,276,1
72963,AMORTECEDOR MF 6201714M1,12,277,4
72960,BUCHA VALMET 614040,12,278,2
72961,CINTA MF 2801069M91,12,279,1
72921,VEDACAO JD R254016,12,280,1
72911,TERMINAL JD RE261925,12,281,1
72910,TERMINAL JD RE261926,12,282,1
72981,MOLDURA JD L222937,12,283,1
73019,TUBO 615MM X 72MM INRODA 8000300034,12,284,1
73006,VEDACAO JACTO 573634,12,285,1
73027,SOQUETE RAINHA DAS SETE ETE7216N,12,286,8
73028,SOQUETE RAINHA DAS SETE ETE7218N,12,287,8
73021,POLIA 4 CANAL 135 X 72MM INRODA 022420004,12,288,1
73023,PORCA INRODA 8000250001,12,289,1
72992,ATUADOR PROPORCIONAL 4NM 0-10VCC-EMO-35M-24 HOLAMAQ 20023,12,290,1
72996,PRESSOSTATO ECONEX CPE 050 HOLAMAQ 16052,12,290,1
73004,REBITE JACTO 870311,12,285,1
72995,ELETRODO IONIZACAO BRAHMA 350/1000 HOLAMAQ 06228,12,290,2
72993,PRESSOSTATO 930.080 0.2 3 MBAR HOLAMAQ 16009,12,290,1
72994,ELETRODO BRAHMA HOLAMAQ 06242,12,290,2
69037,BUZINA VTO VTO113,12,291,1
69014,PISTAO JD DZ110417,14,292,3
69042,CONEXAO HIDRAULICA AEROQUIP 205911806ZF,12,293,4
69040,CONEXAO HIDRAULICO WINNER 267410806ZF,12,266,20
69041,CONEXAO HIDRAULICA EATON WINNER 205111806ZF,12,266,18
68991,CONEXAO HIDRAULICA EATON WINNER 242911212ZF,12,294,2
68866,ELETRODO 4.00MM 6013 ARCOS 305401815,3,295,39
68859,PORCA RODA 22MM RODAFUSO 244,12,296,9
68900,LAMPADA JD AXE16948,12,297,23
69059,"MANGUEIRA HIDRAULICA 1"" 2 TRAMA NYLON 565 PSI GATES 16C3H1",1,298,39,5
69193,LONA FREIO FRASLE MB185/AF600,15,299,3
69155,LUVA PROCEDIMENTO S/ PO P NITRILICO AZUL 100UN SUPERMAX 555080,11,300,3
69221,BUCHA JD R198159,12,301,7
69205,ALAVANCA PLANTE+ CQ69725,12,302,15
69094,ENGRENAGEM STARA 6424-4097,12,303,6
69105,MANGUEIRA MF 047913P1,12,236,1
69106,BORRACHA MF 3147747M1,12,163,1
68852,TERMINAL FEMEA TOTAL ISOLACAO AZ 6.3-2.5MM STEMAC 52006000215,12,304,2
68688,PINO MB 0004211708,12,305,2
68672,COXIM MB A9793200173,12,306,1
68673,BUCHA MB A9793200444,12,307,3
68712,ESPACADOR JD R117351,12,308,1
68711,TAMPA JD AT405918,12,309,1
68689,PINO MB A0004210434,12,305,2
68690,BUCHA MB A0004210950,12,310,4
68651,BLOCO ADESIVO POST-IT AMARELO 76X76MM 100FL BRW BA7675,12,311,7
68661,FLEXIVEL IBTF 35599,12,278,1
68808,BARRA ZUCOLLO ZL1125,12,243,1
68814,ROLAMENTO ESFERA SKF 61801 2RS,12,312,6
68730,ROLAMENTO ROLETE KOYO 30208,12,313,3
68738,QUADRANTE JD AL173417,12,314,2
68720,RASPADOR NH 84184935,12,186,1
68764,DISCO STARA 6117-4102,12,315,116
68744,CORREIA LISA CONTINENTAL BX80,12,316,1
69324,VELA KOHLER 2513214S,12,85,2
69327,LAMINA HUSQUARNA 588811002,12,317,3
69310,BUCHA JD R185317,12,318,1
69315,EIXO STARA 6117-4184-ER,12,319,28
69331,POLIA HUSQUARNA 532175820,12,320,1
69329,CORREIA HUSQVARNA 574870901,12,321,1
69330,CORREIA HUSQVARNA 579678501,12,322,1
69305,PINHAO STARA 6117-4184-PM,12,323,29
69304,PINHAO STARA 6117-4184-PA,12,324,32
69302,ABRACADEIRA STARA 6144-4000,12,319,2
69303,DOSADOR STARA 6117-4184,12,44,3
69308,FACAO STARA 6256-1515,12,303,4
69309,FLANGE STARA 6007-4126,12,325,19
69307,REPARO MOTOR STARA 6424-4049-R,13,326,1
69306,MOTOR STARA 6426-4043,12,327,1
69333,POLIA HUSQUARNA 532173435,12,320,1
69411,EIXO PLANTE+ CQ29079,12,328,18
69412,EIXO PLANTE+ CQ29078,12,329,6
69410,CUBO PLANTE+ KK45039,12,330,16
69446,JUNTA JD R132396,12,308,1
69447,JUNTA JD R530687,12,309,2
69444,PORTA STARA 7901-4130-VPO,12,331,1
69434,SUPORTE PLANTE+ KK16383,12,332,9
69399,CONEXAO HIDRAULICA AEROQUIP 4SA12FRB12,12,221,1
69338,JUNTA JD R534605,12,333,3
69334,POLIA HUSQUARNA 585813701,12,288,1
69335,EMBREAGEM HUSQUARNA 532179335,12,334,1
69357,CARCACA JD KK63789,12,282,1
69355,ABRACADEIRA NYLON BRANCA 101.6X3.7MM,12,335,720
69351,EIXO PLANTE+ CQ49817,12,336,1
69250,CONDUTOR STARA 6256-2135,12,337,50
69251,TRAVA STARA 6256-1513,12,338,42
69246,RESERVATORIO STARA 6424-4004,12,339,8
69284,SUPORTE STARA 6256-4152,12,115,3
69285,CONDUTOR STARA 6424-4006,12,339,12
69283,GARFO STARA 6256-4151,12,115,9
69272,CORREIA ESTRIADA BOSCH 1987946039,12,340,1
69273,ARTICULACAO VIEMAR 680382,12,341,2
69245,PARAFUSO STARA 9100-2423,12,44,27
69228,HASTE MF 187661M91,12,342,1
69225,KIT REPARO BOMBA JD RE50384,14,343,1
69242,PORCA STARA 9100-6179,12,344,70
69286,CONDUTOR STARA 6007-4194,12,339,8
69296,SUPORTE STARA 6435-3388,14,345,4
69295,CAIXA STARA 6007-4348,12,345,5
69299,PONTEIRA STARA 6424-1891,12,214,1
69297,PINHAO STARA 6007-4348-PI,12,106,1
69298,PINHAO STARA 6007-4348-PIM,12,346,1
69293,PINO STARA 6112-1360,12,347,14
69289,EIXO STARA 6007-1915,12,348,10
69288,SUPORTE STARA 6007-1981,12,349,2
69287,CONDUTOR STARA 6424-4013,12,350,35
69292,PINO STARA 6112-1361,12,346,10
69291,CUBO STARA 6007-4276,12,351,3
69290,EIXO STARA 6007-1916,12,352,50
68172,CONTRA PINO JD 11M7003,12,353,10
68173,PINO JD H75358,12,354,1
68184,RETENTOR 75.00 X 93.00 X 8.00 SPAAL 600651T,12,355,2
68185,SEMI-POLIA JD AH225971,12,356,1
68177,RETENTOR 130.00 X 150.00 X 14.00 SPAAL 605294T,12,357,3
68174,ISOLADOR JD L167924,12,358,1
68175,CARCACA JD H93927,12,359,1
68154,PINO JD 34M7226,12,360,2
68151,PINO JD 34M3858,12,361,1
68148,PINO JD DQ34065,12,362,1
68166,TERMINAL JD 57M7542,12,363,8
68167,BOTAO JD RE581502,12,364,1
68165,PLACA JD AH222665,12,365,1
68163,VALVULA JD DZ111141,12,366,1
68222,ROLAMENTO STARA 9100-4109,12,367,60
68223,SEM FIM STARA 6117-4204,12,368,6
68220,MOLA STARA 6252-4109,12,369,20
68221,MOLA STARA 6252-4108,12,369,5
68226,PORCA STARA 9100-3781,12,370,24
68227,PARAFUSO STARA 9100-1717,12,371,78
68225,MANGOTE STARA 6424-4075,12,134,22
68219,ABRACADEIRA STARA 6205-4148,12,372,1
68217,MANIPULO STARA 6205-4164,12,373,4
68218,VEDACAO JD AL202939,12,374,1
68216,DESLIZADOR STARA 6427-4190,12,375,1
68215,PONTEIRA STARA 6256-4170,12,376,27
68054,ANEL JD R537975,12,48,2
68055,PARAFUSO JD R545312,12,377,6
67991,CUBO ENTALHADO 100/112 WEG 15030650757705,12,378,3
68012,MANGUEIRA JD KK55697,12,379,245
67998,ENGRENAGEM JD N302135,12,380,1
67997,CORREIA JD CQ58875,12,381,1
68107,BOTAO JD M48534,12,382,2
68108,MANGUEIRA JD RE45723,12,383,2
68115,MOLA JD L79149,12,384,1
68122,CABO JD DQ53145,12,215,1
68114,SUPORTE JD CQ27851,12,385,1
68109,ANEL JD R120797,12,58,2
68094,COXIM ECO 1025026N,12,84,4
68077,CABO JD AKK11424,12,219,1
68081,CHICOTE JD AN401359,12,386,1
68066,ANEL JD F37030266,12,167,2
68060,CORREIA JD R551297,12,387,1
68093,SENSOR STARA 7310-5926,12,388,4
68406,CARDAN STARA 6435-4129,12,115,5
68405,CARDAN STARA 6424-4040,12,389,5
68403,ASSENTO JD DQ62623,12,390,1
68433,INSERTO JD A52886,12,391,3
68438,CONEXAO HIDRAULICA AEROQUIP 4SA16FJB16,12,266,8
68416,ANEL RETENCAO GUARANY 3263,12,392,20
68400,REFIL FILTRO UNIVERSAL AGUA PLANETA AGUA 1051,12,393,1
68370,PORCA STARA 9100-2902,12,394,43
68369,PRISIONEIRO STARA 9100-2350/1,12,367,56
68399,CELULA CARGA GL30 30KG ALFA 0002721,12,395,2
68439,CONEXAO HIDRAULICA AEROQUIP 4SA16FJA16,12,396,10
68621,BARRA PLANTE+ CQ59100,12,183,4
68638,PARAFUSO JD CQ26970,12,397,3
68640,PROTECAO JD R105262,12,398,1
68622,PENEIRA PLANTE+ A72758,12,399,14
68449,CONEXAO HIDRAULICA EATON WINNER 267110606ZF,12,400,5
68450,CONEXAO HIDRAULICA AEROQUIP 15063186P,12,401,2
68444,SENSOR MTE-THOMSON 3058,12,402,1
68452,CONEXAO HIDRAULICA AEROQUIP 205915220ZF,12,403,7
68453,"CAPA PRENSAGEM 1.1/4"" AEROQUIP 0331020ZF",12,401,1
68296,LENTE CR GF GF-2030,12,404,4
68294,LENTE AM GF GF-2030,12,404,2
68295,LENTE VM GF GF-2030,12,404,4
68312,DESCARGA BRANCO 19811810,12,405,1
68235,LUVA JD CQ57240,12,343,4
68249,BARRA JD SU302295,12,406,1
68234,ADUTOR JD CQ34941,12,252,1
