Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName
13775,PONTO JUMIL 2738462,12,19,604,CONTAINER-02
13779,ALONGADOR JUMIL 2732142,12,2,604,CONTAINER-01
13789,BRACO MARCHESAN 0511064106,12,8,604,137
13791,REPARO VEDACAO MARCHESAN 0501031961,15,5,604,137
13792,ARRUELA MARCHESAN 0501018466,12,6,604,137
13793,ENGRENAGEM MARCHESAN 0511064105,12,6,604,137
13795,TRAVA MARCHESAN 0521012190,12,10,604,137
13797,BRACO MARCHESAN 0511063111,12,5,604,137
13800,EIXO MARCHESAN 0511012244,12,53,604,137
14483,DISCO JACTO 980326,12,1,604,1
14486,MOLA JACTO 588020,12,2,604,1
14506,SEGMENTO JACTO 645630,12,1,604,7559
14507,FLANGE MARCHESAN 0521010832,12,4,604,137
14530,FILTRO AR CONDICIONADO JACTO 756874,12,5,604,1
14592,ARRUELA JACTO 858167,12,3,604,1
14898,IMPULSOR JACTO 980409,12,2,604,1
14905,ARRUELA JACTO 993121,12,2,604,1
14911,PARAFUSO JACTO 743450,12,1,604,1
14932,TERMINAL JACTO 757526,12,2,604,1
14977,FECHO MARCHESAN 0501058015,13,4,604,137
15070,PINCA JACTO 273409,12,1,604,1
15071,BIELA JACTO 844795,12,1,604,Vazio
15103,ARRUELA MARCHESAN 051013352,12,11,604,137
15104,LUVA MARCHESAN 0502040723,12,1,604,137
15139,GRAXEIRA MARCHESAN 0503011962,12,41,604,137
15176,CONTRA PORCA MARCHESAN 0521011158,12,22,604,137
15177,REGULADOR MARCHESAN 0511061747,12,7,604,137
15178,DEPOSITO MARCHESAN 0531018622,12,16,604,137
15181,FUSO MARCHESAN 0521018575,12,5,604,137
15412,TIRA JD H209762,12,1,604,Vazio
15571,COXIM JACTO 991869,12,3,604,1
15572,PORCA JACTO 228957,12,4,604,1
15648,TIRANTE JUMIL 2716254,13,2,604,Vazio
15787,PORCA CASE 86000441,12,3,604,Vazio
16240,BUCHA JACTO 967075,12,13,604,1
16431,ENGRENAGEM MARCHESAN 0502011339,12,18,604,137
16474,PARAFUSO JACTO 911974,12,16,604,Vazio
16628,TAMPA JACTO 729111,12,2,604,1
17133,TAMPA JACTO 493148,12,1,604,1
17163,QUADRO JUMIL 2749610,12,17,604,Vazio
17203,BRACO JUMIL 2749431,12,33,604,CONTAINER-02
17852,REPARO VEDACAO JACTO 860627,15,2,604,1
18274,MANGUEIRA JACTO 915694,12,2,604,Vazio
18770,FILTRO LINHA JACTO 752816A,12,2,604,Vazio
18827,PORCA MARCHESAN 050101301,12,26,604,137
19035,CABO JACTO 073775,12,1,604,1
19308,FILTRO AR YALE 580048839,12,5,604,158
19545,JUNTA JACTO 7049149,12,1,604,1
19912,PORCA JACTO 324178,12,4,604,1
19914,ROTULA JACTO 163956,12,2,604,6216
19916,PORCA JACTO 747154,12,3,604,1
19919,BUCHA JACTO 647727,12,2,604,6215
19925,ROLAMENTO JACTO 3316696,12,2,604,1
19926,PORCA JACTO 209205,12,11,604,1
20160,ENGRENAGEM MARCHESAN 0501053826,12,50,604,137
20162,ENGRENAGEM MARCHESAN 0511061759,12,2,604,137
20213,ESTICADOR JUMIL 2730490,13,5,604,CONTAINER-02
20232,REFORCO JUMIL 2748862,12,16,604,CONTAINER-02
20330,PARAFUSO MARCHESAN 0503011339,12,12,604,137
20331,ARRUELA MARCHESAN 0503011340,12,4,604,137
20387,PARAFUSO JACTO 079525,12,1,604,1
20850,INSERTO JACTO 37853,12,120,604,1
20899,PLACA JD AH213002,12,5,604,Vazio
20937,CONECTOR JACTO 846717,12,1,604,1
21009,PLACA JD AH214213,12,2,604,Vazio
21033,BOMBA JACTO 265462,12,1,604,1
21036,SUPORTE JACTO 956102,12,1,604,1
21039,SUPORTE JACTO 74617,12,1,604,1
21585,BUCHA JUMIL 2738227,12,18,604,CONTAINER-02
22300,COMANDO JACTO 8370025,12,1,604,1
22779,TAMPA JACTO 211979,12,1,604,1
23335,MANCAL JUMIL 2730122,12,42,604,CONTAINER-02
23336,ANEL MARCHESAN 0503010542,12,19,604,137
23436,PLACA JD AH227371,12,2,604,PISO
23476,MANCAL MARCHESAN 0501052776,12,2,604,137
23477,MANCAL MARCHESAN 0501052778,12,4,604,137
23655,ENGRENAGEM MARCHESAN 0501055266,12,10,604,137
23835,REPARO VEDACAO JACTO 860601,15,1,604,Vazio
23933,TERMINAL JACTO 504521,12,2,604,1
23966,CORREIA JACTO 917484,12,3,604,1
24551,ANEL JACTO 977306,12,22,604,1
24570,COADOR JACTO 106831,12,1,604,Vazio
24775,SUPORTE JUMIL 2749507,12,9,604,CONTAINER-01
24776,SUPORTE JUMIL 2749505,12,9,604,CONTAINER-01
24777,SUPORTE JUMIL 2749509,12,18,604,CONTAINER-02
24778,SUPORTE JUMIL 2749529,12,6,604,CONTAINER-01
24779,SUPORTE JUMIL 2749527,12,8,604,CONTAINER-01
24806,CORPO BICO TEEJET QJ22187-1/2-NYB,12,9,604,1
25208,SUPORTE JUMIL 2749635,12,5,604,CONTAINER-01
25212,SUPORTE JUMIL 0427851,12,2,604,CONTAINER-01
25216,CUBO JUMIL 2715822,13,3,604,CONTAINER-01
25240,FILTRO AR JACTO 190701,12,5,604,Vazio
25343,CONE SKF LM67048Q,12,1,604,MEZANINO-M-023
25383,ENGRENAGEM MARCHESAN 0502011400,12,6,604,137
25384,ARRUELA MARCHESAN 0501019734,12,6,604,137
25385,CAIXA MARCHESAN 0502011987,12,8,604,137
25386,CONE MARCHESAN 0511060396,12,6,604,137
25387,CONE MARCHESAN 0511061667,12,6,604,137
25388,ROLDANA MARCHESAN 0503031129,12,70,604,137
25389,ROLDANA MARCHESAN 0503031128,12,70,604,137
25399,SUPORTE JUMIL 0427401,12,3,604,CONTAINER-02
25403,REGULADOR JUMIL 2732904,12,113,604,CONTAINER-01
25409,EIXO MARCHESAN 0521012536,12,9,604,137
25410,CONTRA PINO MARCHESAN 0503010523,12,53,604,137
25411,LUVA MARCHESAN 0531012565,12,5,604,137
25420,CAIXA MARCHESAN 0502011971,12,10,604,137
25421,MANCAL MARCHESAN 0502011697,12,9,604,137
25422,ENGRENAGEM MARCHESAN 0511061778,12,11,604,137
25423,PORCA MARCHESAN 0503010209,12,77,604,137
25424,EIXO MARCHESAN 0501013468,12,10,604,137
25425,EIXO MARCHESAN 0501013466,12,20,604,137
25426,GATILHO MARCHESAN 0502010447,12,10,604,137
25427,ARRUELA MARCHESAN 0501013354,12,105,604,137
25741,CORREIA JACTO 1181485,12,1,604,1
25742,PARAFUSO JACTO 261263,12,1,604,1
25774,SENSOR JACTO 1199743,12,2,604,1
25775,VEDACAO JACTO 1167827,12,1,604,1
25929,CINTA JACTO 293224,12,3,604,1
25951,ANEL JACTO 417717,12,16,604,1
26029,BUCHA JACTO 347079,12,4,604,1
26125,TENSOR JACTO 1182041,12,1,604,1
26314,CONEXAO JACTO 893958,12,3,604,1
26435,BICO JACTO 867093,12,5,604,1
27011,MANGUEIRA JACTO 756882,12,5,604,1
27012,MANGUEIRA JACTO 756890,12,1,604,1
27028,BUCHA JD L77978,12,1,604,Vazio
27083,TERMINAL JACTO 28969,12,2,604,1
27084,PARAFUSO JACTO 178961,12,1,604,1
27238,CABO JACTO 504654,12,5,604,1
27250,REPARO VEDACAO JACTO 599712,12,3,604,1
27256,BASE JACTO 1175592,12,1,604,1
27298,JUNTA JACTO 371822,12,4,604,1
27761,RETENTOR JACTO 1163621,12,1,604,1
27774,TERMINAL JACTO 178318,12,3,604,1
27893,PINO JACTO 758102,12,4,604,1
28197,MANGUEIRA JACTO 851147,12,1,604,1
28198,CONDENSADOR JACTO 847111,12,1,604,1
28253,ELETROVALVULA JACTO 1184962,12,1,604,1
28938,MANGUEIRA JACTO 1175095,1,1,604,1
29137,CARDAN JACTO 1185595,12,2,604,1
29180,PASTILHA JACTO 1167829,14,2,604,1
29587,COMANDO PILOTO AUTOMATICO RAVE 3340003066,12,1,604,1
29637,MANGUEIRA JACTO 1175085,12,1,604,1
29672,ANEL JACTO 966713,12,1,604,1
29803,VALVULA JACTO 21385,12,1,604,1
29852,VALVULA JACTO 272088,12,1,604,1
30174,ASSENTO MARCHESAN 0501013355,12,30,604,137
30397,CONTRA PINO MARCHESAN 0503010571,12,85,604,137
30410,EIXO MARCHESAN 0511011251,12,8,604,137
30411,EIXO MARCHESAN 0531012374,12,6,604,137
30413,EIXO MARCHESAN 0501019616,12,6,604,137
30414,EIXO MARCHESAN 0531010242,12,9,604,137
30415,EIXO MARCHESAN 0531010243,12,7,604,137
30416,PORTA MARCHESAN 0511011927,12,100,604,137
30417,LIMPADOR MARCHESAN 0502070062,12,50,604,137
30418,MOLA MARCHESAN 0503031366,12,42,604,333
30419,ANEL MARCHESAN 0503010372,12,35,604,137
30472,CINTA JD 293307,12,1,604,52
30794,VEDACAO JACTO 304600,12,1,604,1
30797,CORREIA JACTO 365626,12,1,604,1
30799,SUPORTE JACTO 1184877,12,3,604,1
30803,CABO JACTO 092980,12,3,604,1
30965,JUMELO BALDAN 53320100085,12,1,604,CONTAINER-01
